"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"27L_GT_3_N","PLT","R27L",3,0.899979,0.00406361,-152.400009155273,2286
"27L_GT_3_N","PLT","R27L",4,0.899973,-0.00852233,-152.400009155273,2286
"27L_GT_3_N","PLT","R27L",5,0.899101,-0.00851432,-152.400009155273,2286
"27L_GT_3_S","PLT","R27L",1,0.897358,-0.00849835,-152.400009155273,2286
"27L_GT_3_S","PLT","R27L",2,0.897365,0.00404641,-152.400009155273,2286
"27L_GT_3_S","PLT","R27L",3,0.896493,0.00404071,-152.400009155273,2286
"27L_GT_3_S","PLT","R27L",4,0.896487,-0.00849039,-152.400009155273,2286
"27L_GT_3_S","PLT","R27L",5,0.897358,-0.00849835,-152.400009155273,2286
"27L_GWCS_ILS","GWCS","R27L",1,0.898194,-0.00757577,-152.400009155273,2042.16003417969
"27L_GWCS_ILS","GWCS","R27L",2,0.898272,-0.0075764,-152.400009155273,2042.16003417969
"27L_GWCS_ILS","GWCS","R27L",3,0.898278,0.00265695,-152.400009155273,2042.16003417969
"27L_GWCS_ILS","GWCS","R27L",4,0.8982,0.00265657,-152.400009155273,2042.16003417969
"27L_GWCS_ILS","GWCS","R27L",5,0.898194,-0.00757577,-152.400009155273,2042.16003417969
"27L_ILS","PLT","R27L",1,0.898199,-0.00571536,-152.400009155273,2042.16003417969
"27L_ILS","PLT","R27L",2,0.898277,-0.00571581,-152.400009155273,2042.16003417969
"27L_ILS","PLT","R27L",3,0.898275,0.00405238,-152.400009155273,2042.16003417969
"27L_ILS","PLT","R27L",4,0.898197,0.00405187,-152.400009155273,2042.16003417969
"27L_ILS","PLT","R27L",5,0.898199,-0.00571536,-152.400009155273,2042.16003417969
"27L_Landing","PLT","R27L",1,0.898194,-0.00757577,-152.400009155273,609.600036621094
"27L_Landing","PLT","R27L",2,0.898272,-0.0075764,-152.400009155273,609.600036621094
"27L_Landing","PLT","R27L",3,0.898277,-0.00571581,-152.400009155273,609.600036621094
"27L_Landing","PLT","R27L",4,0.898199,-0.00571536,-152.400009155273,609.600036621094
